text,source,clean_text
"Given this unacceptable situation, when will the European institutions understand that this is their problem and one that affects them directly?",europarl,given unacceptable situation european institutions understand problem one affects directly
"We initially made the mistake in Central and Eastern Europe of transferring more money, but neglecting education and training for the people.",europarl,initially made mistake central eastern europe transferring money neglecting education training people
We must take account of the fact that no democratic society can endure weekly terrorist actions without demanding that its leaders act.,europarl,must take account fact democratic society endure weekly terrorist actions without demanding leaders act
"Although we all know that the risk of flu pandemics is and will continue to be present, I have the impression that, in spite of the timely warning, the European Union as a whole is not as well prepared as it should be.",europarl,although know risk flu pandemics continue present impression spite timely warning european union whole well prepared
"(EL) Mr President, Commissioner, you have given us a prescription that says two things: firstly, that we should abolish collective agreements and, secondly, that we should reduce the minimum wage still further.",europarl,mr president commissioner given us prescription says two things firstly abolish collective agreements secondly reduce minimum wage still
"The next item is the report (A4-0385/98) by Mr Skinner, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, on the proposal for a Council Regulation creating a mechanism whereby the Commission can intervene in order to remove certain obstacles to trade (COM(97)0619 - C4-0011/98-9348/98 - C4-0441/98-97/0330(CNS)).",europarl,next item report mr skinner behalf committee economic monetary affairs industrial policy proposal council regulation creating mechanism whereby commission intervene order remove certain obstacles trade c c cns
I think it reflects Parliament's concerns about how much the Union has so far abided by its commitments within the framework of the Sixth Community Environment Action Programme.,europarl,think reflects parliament concerns much union far abided commitments within framework sixth community environment action programme
"Our job is to control outgoing funds and so it is absolutely essential, and it is up to us, to include the European Development Fund (EDF) in the budget in such a way as to allow parliamentary control to be exercised.",europarl,job control outgoing funds absolutely essential us include european development fund edf budget way allow parliamentary control exercised
"This will increase the status of the profession, ensure the recognition of professional qualifications and help combat dumping practices.",europarl,increase status profession ensure recognition professional qualifications help combat dumping practices
We have to admit that it is sometimes tempting to resolve this or that problem by creating an agency; together we need to be able to resist this temptation.,europarl,admit sometimes tempting resolve problem creating agency together need able resist temptation
"What is more, they widen the gap between new and old Member States, ignore the principles of cohesion, delay their implementation and hamper countries' economic development.",europarl,widen gap new old member states ignore principles cohesion delay implementation hamper countries economic development
"This is an informal gentleman's agreement, as it is called, between the Commission and the Council.",europarl,informal gentleman agreement called commission council
A broad coalition has made it clear that the Parliament will only agree to the final package if ambitious rules for new European financial supervision are set.,europarl,broad coalition made clear parliament agree final package ambitious rules new european financial supervision set
Another example is the clenbuterol scandal which led to the slaughter of more than 15 000 calves in North Rhine-Westphalia in 1988 and which brought about a change in the original legislation of the hormone directives in 1996.,europarl,another example clenbuterol scandal led slaughter calves north rhine westphalia brought change original legislation hormone directives
An investor should not be able to sue for loss of profit just because environmental and social laws in Member States have progressed or because a socioecological tax reform has been introduced.,europarl,investor able sue loss profit environmental social laws member states progressed socioecological tax reform introduced
The economic and commercial interests involved are enormous and serve to stimulate financial appetites.,europarl,economic commercial interests involved enormous serve stimulate financial appetites
"Madam President, I am finishing now. Please excuse me for having been a little lengthy.",europarl,madam president finishing please excuse little lengthy
"I think that this should also be taken into consideration, because this is a directive that can also be of importance in this connection.",europarl,think also taken consideration directive also importance connection
"An official in charge of counter-terrorism is certainly needed, but the Commission must be the central player.",europarl,official charge counter terrorism certainly needed commission must central player
"The third pillar entails certain obligations, and Parliament will make its voice heard through Mrs d'Ancona's excellent report and the absolutely essential improvements it suggests.",europarl,third pillar entails certain obligations parliament make voice heard mrs ancona excellent report absolutely essential improvements suggests
"Before concluding, I should like to mention our commitment to supporting innovation in the textile and clothing sector.",europarl,concluding like mention commitment supporting innovation textile clothing sector
"However, something which must interest MEPs is the role of the Joint Parliamentary Assembly and possible attempts at restricting its frequency and role.",europarl,however something must interest meps role joint parliamentary assembly possible attempts restricting frequency role
"(EL) Mr President, today I would like to put the question of Olympic Airlines to the Plenary.",europarl,mr president today would like put question olympic airlines plenary
They worked very hard to prepare this report on security of supply as early as this February plenary in 2009.,europarl,worked hard prepare report security supply early february plenary
"The new strategy outlined by the Commission communication on tourism and employment, and agreed by the Council, places the emphases on tourism gathering and disseminating information and good practice.",europarl,new strategy outlined commission communication tourism employment agreed council places emphases tourism gathering disseminating information good practice
"Subject: Conditions for Swedish adoption of the common currency The introduction of the euro at the beginning of the year has lent urgency to the debate in Sweden on its possible future adoption of the common currency, the timing of which is one of the principal issues.",europarl,subject conditions swedish adoption common currency introduction euro beginning year lent urgency debate sweden possible future adoption common currency timing one principal issues
And we abstain from any binding involvement or commitment whatsoever on behalf of the poorest populations.,europarl,abstain binding involvement commitment whatsoever behalf poorest populations
"I am therefore pleased with the adoption of this report and the proposed measures, particularly the strengthening of funding and cooperation from various sectors, along with the holding of a second summit of the Eastern Partnership during the second half of 2011.",europarl,therefore pleased adoption report proposed measures particularly strengthening funding cooperation various sectors along holding second summit eastern partnership second half
"Several dozen legal residents of the EU are still incarcerated there, including some of my constituents: Bisha al-Rawi, Jamil al-Banna and Omar Deghayes.",europarl,several dozen legal residents still incarcerated including constituents bisha rawi jamil banna omar deghayes
"In addition to a preliminary assessment of the impact of the rising number of public debates and deliberations on the effectiveness of the Council's work, the report contains data on the number of visits to the new Council video streaming website and to the website providing access to Council documents relating to public deliberations or debates.",europarl,addition preliminary assessment impact rising number public debates deliberations effectiveness council work report contains data number visits new council video streaming website website providing access council documents relating public deliberations debates
"Mr President, I propose that the European Parliament congratulate the newly elected President of Columbia and also initiate greater aid for Columbia, above all, for the implementation of the Justice and Peace Law, which could solve the security problems in this country.",europarl,mr president propose european parliament congratulate newly elected president columbia also initiate greater aid columbia implementation justice peace law could solve security problems country
I.amending Regulation (EEC) No 3975/87 laying down the procedure for the application of the rules on competition to undertakings in the air transport sector (COM(97)0218 - C4-0258/97-97/0137(CNS));,europarl,amending regulation eec laying procedure application rules competition undertakings air transport sector c cns
"And this directive on port reception facilities for cargo residues is, of course, also about the question of how to make our seas cleaner.",europarl,directive port reception facilities cargo residues course also question make cleaner
(PT) There are various factors that contribute to corruption as a transnational problem.,europarl,pt various factors contribute corruption transnational problem
"I regret to say that all this was inevitable, because over the past 12 months the Commission has been rudderless.",europarl,regret say inevitable past months commission rudderless
We continue to support the democratic opening launched by the government.,europarl,continue support democratic opening launched government
"Tens of thousands of people are demonstrating every day in Ukraine, with the aim of making their country democratic and honest, and of ensuring that links are built between Ukraine and the European Union.",europarl,tens thousands people demonstrating every day ukraine aim making country democratic honest ensuring links built ukraine european union
The fact is that in practice anti-personnel mines primarily affect the civilian population.,europarl,fact practice anti personnel mines primarily affect civilian population
The success of efforts for national reconciliation are of crucial importance for long-lasting and permanent progress in improving the security situation. The European Union is prepared to support Iraq in its commitments to continue this process.,europarl,success efforts national reconciliation crucial importance long lasting permanent progress improving security situation european union prepared support iraq commitments continue process
"Perhaps the Council wants greater flexibility in the use of this EDF money, at least, that is how I understand the direction the discussion is taking in the Council.",europarl,perhaps council wants greater flexibility use edf money least understand direction discussion taking council
"In my view, forging new relations with our future neighbours could be a first decisive step, particularly as regards the Arab Muslim world.",europarl,view forging new relations future neighbours could first decisive step particularly regards arab muslim world
Preparations are now too far advanced to be able to successfully implement any changes.,europarl,preparations far advanced able successfully implement changes
"The war in the Caucasus and the use of cluster munitions both by Georgia and by Russia, represent a challenge to us.",europarl,war caucasus use cluster munitions georgia russia represent challenge us
"In addition, there were mistakes in the certified expenditure and insufficient sanctions, as well as links between experts and some of the organisations involved in the research proposals which, in my view, need to be queried.",europarl,addition mistakes certified expenditure insufficient sanctions well links experts organisations involved research proposals view need queried
"The Union for Europe Group is in agreement with the common position and with some amendments tabled here today, but it is absolutely opposed to Amendments Nos 17, 18 and 19.",europarl,union europe group agreement common position amendments tabled today absolutely opposed amendments
"Therefore, such vitally important projects should be financed with EU funds.",europarl,therefore vitally important projects financed funds
What measures will the current Presidency take to encourage action by Member States?,europarl,measures current presidency take encourage action member states
I therefore call on the Commission to launch an investigation into the possibility of temporarily withholding the preferences granted to Honduras under the GSP+.,europarl,therefore call commission launch investigation possibility temporarily withholding preferences granted honduras gsp
"That is why we are preparing guidelines explaining how competition law will apply to the liner sector, once Regulation (EC) No 4056/86 is repealed.",europarl,preparing guidelines explaining competition law apply liner sector regulation ec repealed
"It is your and our common European day of celebration, and I offer you my sincere congratulations.",europarl,common european day celebration offer sincere congratulations
I know that it was the result of hard negotiations in which the rapporteur and the other representatives of the Committee on Budgets successfully defended the rights of the European Parliament.,europarl,know result hard negotiations rapporteur representatives committee budgets successfully defended rights european parliament
"(DE) Mr President, as the shadow rapporteur from the Group of the European People's Party (Christian Democrats) for the European Central Bank annual report for 2008, I am very happy with the report that is in front of us now.",europarl,mr president shadow rapporteur group european people party christian democrats european central bank annual report happy report front us
These other ships which are only passing through EU waters can cause equally bad and even far worse pollution of our shorelines.,europarl,ships passing waters cause equally bad even far worse pollution shorelines
Within this framework the call for the Commission to promote the creation of urban administrators and to establish an Erasmus for local and regional elected representatives is of significance.,europarl,within framework call commission promote creation urban administrators establish erasmus local regional elected representatives significance
They must be able to effectively re-establish the rule of law and security and redeploy state authority in the most sensitive regions.,europarl,must able effectively establish rule law security redeploy state authority sensitive regions
"The Group of the Greens/European Free Alliance welcomes all seven Commission legislative proposals, and we therefore support the rapporteurs' recommendations on the five common positions, including the split and separate votes on the recommendations of the Costa report concerning inland waterway transport.",europarl,group greens european free alliance welcomes seven commission legislative proposals therefore support rapporteurs recommendations five common positions including split separate votes recommendations costa report concerning inland waterway transport
"He declared that Kaliningrad, Gdańsk and Wrocław are German cities and demanded German jurisdiction over them.",europarl,declared kaliningrad gda sk wroc aw german cities demanded german jurisdiction
It will certainly give the Commission food for thought where macro-financial assistance to third countries is concerned.,europarl,certainly give commission food thought macro financial assistance third countries concerned
"My second remark on the budget as a whole is that there is a real danger that we are moving into a period where the annual budget has no relevance whatsoever; where we have multiannual programmes which have decided the figures year by year, and a financial perspective which has allocated funds well into the future.",europarl,second remark budget whole real danger moving period annual budget relevance whatsoever multiannual programmes decided figures year year financial perspective allocated funds well future
"I believe it represents a step forward for consumer and environmental protection, including in terms of the positions of individual Member States, which sometimes complain of delays.",europarl,believe represents step forward consumer environmental protection including terms positions individual member states sometimes complain delays
"According to last month’s Transparency International list, Bulgaria is ranked Number 55 and Romania Number 85 on the list of corrupt countries, which puts them alongside such countries as Mongolia and the Dominican Republic.",europarl,according last month transparency international list bulgaria ranked number romania number list corrupt countries puts alongside countries mongolia dominican republic
Today it is trying its best to find its way among difficult neighbours.,europarl,today trying best find way among difficult neighbours
"Besides it being somewhat detrimental to the major freedoms, such as freedom of expression and of trade, such an approach would probably have favoured non-European markets, to the detriment of those domiciled in Europe, and would probably also have favoured private and confidential financial transactions, to the detriment of public transactions subject to rules on transparency.",europarl,besides somewhat detrimental major freedoms freedom expression trade approach would probably favoured non european markets detriment domiciled europe would probably also favoured private confidential financial transactions detriment public transactions subject rules transparency
"Madam President, President-in-Office, Commissioner, colleagues, in recommending this resolution to you I want to draw your attention to the views of the people of Europe.",europarl,madam president president office commissioner colleagues recommending resolution want draw attention views people europe
The economic crisis: is Europe capable of stimulating growth on a European scale?,europarl,economic crisis europe capable stimulating growth european scale
"Madam President, this morning, I asked for the posters hanging from the windows of certain Members' offices to be removed because of the damage they do to Parliament's dignity.",europarl,madam president morning asked posters hanging windows certain members offices removed damage parliament dignity
"If you now allow dealers to subcontract maintenance and repairs, an entire continuous chain of responsibility will be broken.",europarl,allow dealers subcontract maintenance repairs entire continuous chain responsibility broken
"We are now, Mr Lamy, at a critical stage in the negotiations for a successor agreement to Lomé IV and we will soon be embarking on complex discussions on trade relations with 71 ACP countries.",europarl,mr lamy critical stage negotiations successor agreement lomé iv soon embarking complex discussions trade relations acp countries
"In calling for bans on imports, our aim is not to obstruct imports from the Third World but to provide additional aid to the developing countries through new financial resources, technology transfer and additional quotas and the easing of customs duties for all products of fair trade.",europarl,calling bans imports aim obstruct imports third world provide additional aid developing countries new financial resources technology transfer additional quotas easing customs duties products fair trade
"This was the view of the 192 national representatives and this is also my response to some of the suggestions of alarmism, an argument I have become used to in my own country.",europarl,view national representatives also response suggestions alarmism argument become used country
"Member of the Commission. - Mr President, let me start by thanking you for allowing the urgent procedure to be applied to the two proposals that I hope will help the situation in the dairy market - one proposing that milk be included in the scope of Article 186, and one regarding the management of the buy-out scheme for quotas.",europarl,member commission mr president let start thanking allowing urgent procedure applied two proposals hope help situation dairy market one proposing milk included scope article one regarding management buy scheme quotas
"Many grandiose announcements have been made about what the EU can do - or rather, what the Commission can propose and what the Member States must implement.",europarl,many grandiose announcements made rather commission propose member states must implement
"That is why we obviously want to take individual steps, but without a thorough reform of the political system in Argentina, but also to some extent in Brazil, this continent will not shake off the crisis.",europarl,obviously want take individual steps without thorough reform political system argentina also extent brazil continent shake crisis
"It will of course be nice to have the Commission's communication, but I am not exactly happy at the way in which the Commissioner is showing his political colours here.",europarl,course nice commission communication exactly happy way commissioner showing political colours
Member States in particular need to pay more serious attention to citizens claiming their European rights.,europarl,member states particular need pay serious attention citizens claiming european rights
"After democracy was restored, as a result - certainly - of the activities of the Shining Path terrorist organisation, the democratically-elected President of Peru, Mr Fujimori, carried out a government coup by dissolving Parliament and drawing up a constitution made-to-measure for himself as President.",europarl,democracy restored result certainly activities shining path terrorist organisation democratically elected president peru mr fujimori carried government coup dissolving parliament drawing constitution made measure president
The Maastricht Treaty allows for us to do so and also to harness the reserves left in those budget lines and bring them back into use under a new European Union policy.,europarl,maastricht treaty allows us also harness reserves left budget lines bring back use new european union policy
"To my mind, the often cross-border nature of financial provision means that this is absolutely essential.",europarl,mind often cross border nature financial provision means absolutely essential
"So far, Parliament has failed to recognize the growth in the biotechnology industry by providing it with the proper patent legislation it needs for economic support, and after nine years we have still not achieved harmonization at European level.",europarl,far parliament failed recognize growth biotechnology industry providing proper patent legislation needs economic support nine years still achieved harmonization european level
"However, the joint resolution by the two major parties in the European Parliament says nothing about this and, as a result, I am forced to vote against this joint resolution.",europarl,however joint resolution two major parties european parliament says nothing result forced vote joint resolution
"We hope that the European Commission and the Council will take account of this report and the opinion of the European Parliament in defence of public health, food safety and producers of poultrymeat in the European Union.",europarl,hope european commission council take account report opinion european parliament defence public health food safety producers poultrymeat european union
I trust that the conclusions we will adopt tomorrow will allow us to establish a solid basis that meets the concerns expressed and enables us to make immediate progress in the launching of industrial initiatives.,europarl,trust conclusions adopt tomorrow allow us establish solid basis meets concerns expressed enables us make immediate progress launching industrial initiatives
"The Liberal Group is happy with the high level of protection which is provided for minors in the revised directive, and I sincerely hope, Commissioner Fischler, that you will look into the question of the V-chip very carefully, and that this or some similar technical device will eventually be introduced.",europarl,liberal group happy high level protection provided minors revised directive sincerely hope commissioner fischler look question v chip carefully similar technical device eventually introduced
Other concerns relate to long-term inflation expectations and also monetary trends.,europarl,concerns relate long term inflation expectations also monetary trends
Mr Kindermann mentions the size of nets in the technical measures in his report.,europarl,mr kindermann mentions size nets technical measures report
"(SV) Mr President, I would also like to give the Swedish Presidency top marks for its organisational skills.",europarl,sv mr president would also like give swedish presidency top marks organisational skills
"The European Union is traditionally a union of States and of peoples, and I believe we must begin to talk about a union of States and citizens, because 'peoples' is a concept from the 1950s.",europarl,european union traditionally union states peoples believe must begin talk union states citizens peoples concept
"In Panama last week the Foreign Secretary, in his capacity as President-in-Office, held a meeting with other Member States who were represented there.",europarl,panama last week foreign secretary capacity president office held meeting member states represented
"Its borders must be sealed to ensure that uncertified products do not reach the market, an efficient monitoring and information system must be established, and a more stringent and uniform system of penalties introduced to ensure that circumvention of the CE system does not pay off.",europarl,borders must sealed ensure uncertified products reach market efficient monitoring information system must established stringent uniform system penalties introduced ensure circumvention ce system pay
"Your Commission is in the process of approving the production and distribution on the European market of new medicinal and other products, the harmlessness of which in the short and medium term is far from guaranteed.",europarl,commission process approving production distribution european market new medicinal products harmlessness short medium term far guaranteed
"Thus, on 3 July, eight Christians were arrested in Xinjiang during a service.",europarl,thus july eight christians arrested xinjiang service
"Hence, the question: when will we receive the verbatim report of proceedings for these topical and urgent subjects of major importance?",europarl,hence question receive verbatim report proceedings topical urgent subjects major importance
It is not the fault of Mr Schnellhardt that this remained locked in committee for some time.,europarl,fault mr schnellhardt remained locked committee time
I just hope that this spirit of constructive cooperation will remain because I need - and I am counting on - your support for the remaining directives.,europarl,hope spirit constructive cooperation remain need counting support remaining directives
This is an important document contributing to European political party development in order to activate public interest in EU affairs.,europarl,important document contributing european political party development order activate public interest affairs
Agriculture is the single rural affairs policy for which the Community has total responsibility.,europarl,agriculture single rural affairs policy community total responsibility
"First of all the procedure should be set out, and only then the specific financial decisions made.",europarl,first procedure set specific financial decisions made
The conclusion on this is that it is difficult for the moment to see any acceptable reason why the regulation on passenger traffic should be amended.,europarl,conclusion difficult moment see acceptable reason regulation passenger traffic amended
"(PT) Madam President, Commissioner, I asked for the floor in order to disagree with Mrs Estrela.",europarl,pt madam president commissioner asked floor order disagree mrs estrela
"(FR) Madam President, Mr President, Commissioner, I will address an issue that has been raised on several occasions and often presented as a single reason: speculation.",europarl,fr madam president mr president commissioner address issue raised several occasions often presented single reason speculation
"Mr President, it gives me pleasure to begin with the strategy for consumer policy and to respond to what Mr Whitehead has written.",europarl,mr president gives pleasure begin strategy consumer policy respond mr whitehead written
"I would therefore like to call on Václav Klaus to respect the will of the Czech people and, following clarification of the situation in the Czech Constitutional Court, to sign the Lisbon Treaty without delay.",europarl,would therefore like call václav klaus respect czech people following clarification situation czech constitutional court sign lisbon treaty without delay
"The last field: I would like to ask the Commission, although it is clearly not guilty here, and although the Council has again refused to support tourism, to consider in the next year how it can carry out a subsidiary, accompanying support for tourism on the basis of existing policies and programmes, because tourism ensures and creates more jobs and economic growth in the Community than the whole of agriculture.",europarl,last field would like ask commission although clearly guilty although council refused support tourism consider next year carry subsidiary accompanying support tourism basis existing policies programmes tourism ensures creates jobs economic growth community whole agriculture
"In April of this year, we spoke very positively about the European Ombudsman during the discharge process.",europarl,april year spoke positively european ombudsman discharge process
We in the Committee on Agriculture and Rural Development have supported the continuation of the reform towards greater personal responsibility and market orientation while at the same time emphasising the aspects of food safety and of social and environmental responsibility - particularly with regard to current market development and the new challenges of climate policy - more strongly than we have done in the past.,europarl,committee agriculture rural development supported continuation reform towards greater personal responsibility market orientation time emphasising aspects food safety social environmental responsibility particularly regard current market development new challenges climate policy strongly done past
The UN Secretary-General has rightly said that the Burundians must experience an improvement in their living conditions if this peace process is not to be jeopardised.,europarl,secretary general rightly said burundians must experience improvement living conditions peace process jeopardised
I insist on a precise and comprehensive response to these difficult legal questions.,europarl,insist precise comprehensive response difficult legal questions
"At present, most financial transfers are very indirect, passing through many intermediate stations.",europarl,present financial transfers indirect passing many intermediate stations
"We must create initiatives which redefine the future of young and old, and solidarity between generations and people, thus contributing to a sustainable, secure and adequate income after retirement.",europarl,must create initiatives redefine future young old solidarity generations people thus contributing sustainable secure adequate income retirement
"I believe such aid should remain available, but the process of awarding it ought to be as transparent as possible. It should also be made clear that in no way will this aid prejudice the freedom of trade and the single market which must prevail within the European Union.",europarl,believe aid remain available process awarding ought transparent possible also made clear way aid prejudice freedom trade single market must prevail within european union
There have been several instances where you will see that my predecessors Mr Gil-Robles Gil-Delgado and Mr Klepsch adopted the careful approach that I did.,europarl,several instances see predecessors mr gil robles gil delgado mr klepsch adopted careful approach
"I would think that, if the EU were to introduce an increased de minimis at this point in time, it is likely to undermine the EU leadership in the ongoing negotiation process, sending a signal round the world that other countries, too, could increase their fishery subsidies on fuel, which would lead to a vicious circle, increasing the pressure on the world's fish stocks.",europarl,would think introduce increased minimis point time likely undermine leadership ongoing negotiation process sending signal round world countries could increase fishery subsidies fuel would lead vicious circle increasing pressure world fish stocks
I said earlier in response to another debate in the House on the common foreign and security policy area that I believe that we need to do much more as a region in a coordinated way to tackle this problem.,europarl,said earlier response another debate house common foreign security policy area believe need much region coordinated way tackle problem
It was our biggest programme and the biggest overseas programme for South Africa itself.,europarl,biggest programme biggest overseas programme south africa
This is what we expect from Laeken and from an Intergovernmental Conference which needs to reform the Union before the European elections.,europarl,expect laeken intergovernmental conference needs reform union european elections
"The Commission would have preferred to retain the original text in these two cases. Nonetheless, in view of the work already under way in the Council and since the latter shares Parliament's view, the Commission has decided to accept both amendments in the interests of reaching a political compromise and to ensure that these standards are approved quickly.",europarl,commission would preferred retain original text two cases nonetheless view work already way council since latter shares parliament view commission decided accept amendments interests reaching political compromise ensure standards approved quickly
"The same holds true for Amendment No 1 and the latter part of Amendment No 9, in which it is proposed that a year-long exemption be granted for the special class of trial motorcycles, and the first part of Amendment No 9, which recommends application to present models to start, not from January, but from July, 2004.",europarl,holds true amendment latter part amendment proposed year long exemption granted special class trial motorcycles first part amendment recommends application present models start january july
"   Mr President, I have taken the floor again, very briefly, to thank all the Members who have spoken in this debate, who have made an important contribution, at times critical but, as far as we are concerned, a valuable contribution in terms of proposals and guidelines for the tasks before us, both as regards the issues that will be addressed by next week’s European Council as it seeks to find solutions to the issues that we have discussed, and also as regards the Intergovernmental Conference.",europarl,mr president taken floor briefly thank members spoken debate made important contribution times critical far concerned valuable contribution terms proposals guidelines tasks us regards issues addressed next week european council seeks find solutions issues discussed also regards intergovernmental conference
"Including these workers within the scope of the directive seven years after its entry into force and the possibility of the Commission undertaking a study of the consequences of the exclusion of self-employed drivers, to be carried out two years before the end of that seven-year period, have proven to be a useful and balanced formula for overcoming the resistance of some Member States and thereby obtaining the agreement that is crucial to the adoption of this new directive, which is of vital importance to the common transport policy.",europarl,including workers within scope directive seven years entry force possibility commission undertaking study consequences exclusion self employed drivers carried two years end seven year period proven useful balanced formula overcoming resistance member states thereby obtaining agreement crucial adoption new directive vital importance common transport policy
